,a,b,c,d,e,f,g,h,i,j
A,0.988909298,0.171748077,0.639448942,0.679993461,0.799475815,0.573068883,0.191917748,0.287015131,0.888492583,0.344016231
B,0.397745453,0.231477102,0.295223235,0.26371993,0.381943061,0.720079497,0.504391806,0.601191532,0.878540561,0.008410923
C,0.115697779,0.772811946,0.996703694,0.185714261,0.759701231,0.774058624,0.763840357,0.840742326,0.242176948,0.911574991
D,0.069748679,0.096301542,0.90602132,0.185143222,0.436775602,0.627760801,0.693668871,0.620837048,0.741453797,0.182205419
E,0.243749391,0.45344777,0.988739144,0.379296747,0.904217721,0.722989341,0.544054188,0.134551619,0.387656313,0.722803449
F,0.792010426,0.084700713,0.065645739,0.847024392,0.319534914,0.386831279,0.659087226,0.56772243,0.078951739,0.571963331
G,0.340062353,0.560665867,0.627038758,0.498076133,0.082569093,0.162790778,0.46872838,0.443426331,0.09483555,0.540036414
H,0.972062501,0.0087046,0.490475041,0.790585574,0.816289079,0.187228283,0.481805539,0.437975423,0.762142731,0.354947415
I,0.165855485,0.985737091,0.971024413,0.838463872,0.898476221,0.391249474,0.337063598,0.623617233,0.347894026,0.824091838
J,0.459103666,0.316584804,0.362220848,0.456903865,0.966496398,0.27390121,0.424526302,0.932653342,0.416766709,0.186136761
